ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,DEST_CITY_MARKET_ID,DEST_CITY_NAME,LineNUM
32575,"Long Beach, CA",30325,"Denver, CO",1
30325,"Denver, CO",32457,"San Francisco, CA",2
32457,"San Francisco, CA",30325,"Denver, CO",3
31423,"Des Moines, IA",30325,"Denver, CO",4
30325,"Denver, CO",31315,"Dickinson, ND",5
30325,"Denver, CO",32389,"Williston, ND",6
31315,"Dickinson, ND",30325,"Denver, CO",7
31503,"Eagle, CO",31123,"St. Louis, MO",8
31123,"St. Louis, MO",31503,"Eagle, CO",9
32544,"CONCORD, NC",31503,"Eagle, CO",10
30397,"Atlanta, GA",30325,"Denver, CO",11
30325,"Denver, CO",31871,"Greer, SC",12
30189,"Colorado Springs, CO",35570,"Victorville, CA",13
32211,"Las Vegas, NV",30189,"Colorado Springs, CO",14
30372,"Aspen, CO",32575,"Burbank, CA",15
32575,"Burbank, CA",31503,"Eagle, CO",16
31503,"Eagle, CO",32575,"Burbank, CA",17
34614,"Salt Lake City, UT",30372,"Aspen, CO",18
30325,"Denver, CO",30466,"Phoenix, AZ",19
34100,"Philadelphia, PA",30325,"Denver, CO",20
30397,"Atlanta, GA",30189,"Colorado Springs, CO",21
30397,"Atlanta, GA",30325,"Denver, CO",22
30397,"Atlanta, GA",30325,"Denver, CO",23
30189,"Colorado Springs, CO",30397,"Atlanta, GA",24
30189,"Colorado Springs, CO",30194,"Dallas/Fort Worth, TX",25
31122,"Casper, WY",30325,"Denver, CO",26
30325,"Denver, CO",30397,"Atlanta, GA",27
30325,"Denver, CO",30397,"Atlanta, GA",28
30325,"Denver, CO",30397,"Atlanta, GA",29
30325,"Denver, CO",33105,"Cincinnati, OH",30
30325,"Denver, CO",31295,"Detroit, MI",31
30325,"Denver, CO",31775,"Sioux Falls, SD",32
30325,"Denver, CO",32211,"Las Vegas, NV",33
30325,"Denver, CO",33570,"San Diego, CA",34
30325,"Denver, CO",34614,"Salt Lake City, UT",35
31295,"Detroit, MI",30325,"Denver, CO",36
31650,"Minneapolis, MN",30325,"Denver, CO",37
33851,"Oklahoma City, OK",30325,"Denver, CO",38
32457,"San Francisco, CA",30325,"Denver, CO",39
34614,"Salt Lake City, UT",30325,"Denver, CO",40
30529,"Hartford, CT",30325,"Denver, CO",41
30189,"Colorado Springs, CO",31295,"Detroit, MI",42
32457,"Oakland, CA",30189,"Colorado Springs, CO",43
30558,"Scottsbluff, NE",30325,"Denver, CO",44
30325,"Denver, CO",30647,"Cleveland, OH",45
30325,"Denver, CO",32448,"Jackson/Vicksburg, MS",46
30325,"Denver, CO",32575,"Los Angeles, CA",47
30325,"Denver, CO",32467,"Miami, FL",48
30325,"Denver, CO",34524,"Richmond, VA",49
33198,"Kansas City, MO",30325,"Denver, CO",50
30325,"Denver, CO",32457,"San Francisco, CA",51
30189,"Colorado Springs, CO",30325,"Denver, CO",52
31233,"Cheyenne, WY",30325,"Denver, CO",53
31233,"Cheyenne, WY",30325,"Denver, CO",54
30194,"Dallas, TX",30189,"Colorado Springs, CO",55
30325,"Denver, CO",30792,"Buffalo, NY",56
30325,"Denver, CO",31140,"Corpus Christi, TX",57
30325,"Denver, CO",31481,"Panama City, FL",58
30325,"Denver, CO",31973,"Gulfport/Biloxi, MS",59
30325,"Denver, CO",31871,"Greer, SC",60
30325,"Denver, CO",32896,"Lubbock, TX",61
30325,"Denver, CO",32600,"Little Rock, AR",62
32457,"San Jose, CA",30189,"Colorado Springs, CO",63
30189,"Colorado Springs, CO",30325,"Denver, CO",64
30325,"Denver, CO",30423,"Austin, TX",65
30325,"Denver, CO",30977,"Chicago, IL",66
30325,"Denver, CO",32457,"San Jose, CA",67
30423,"Austin, TX",30325,"Denver, CO",68
31066,"Columbus, OH",30325,"Denver, CO",69
34792,"Sugar Land, TX",30372,"Aspen, CO",70
30325,"Denver, CO",32211,"Las Vegas, NV",71
30466,"Phoenix, AZ",30325,"Denver, CO",72
30747,"Brownsville, TX",30325,"Denver, CO",73
30325,"Denver, CO",32457,"Oakland, CA",74
30325,"Denver, CO",34275,"Pontiac, MI",75
30325,"Denver, CO",34614,"Salt Lake City, UT",76
31563,"Wendover, UT",31921,"Grand Junction, CO",77
31921,"Grand Junction, CO",31563,"Wendover, UT",78
34576,"Rochester, NY",30325,"Denver, CO",79
34653,"Tulsa, OK",30325,"Denver, CO",80
30325,"Denver, CO",32457,"Oakland, CA",81
30977,"Chicago, IL",30325,"Denver, CO",82
30325,"Denver, CO",33342,"Milwaukee, WI",83
34570,"Reno, NV",30325,"Denver, CO",84
30325,"Denver, CO",30590,"Bullhead City, AZ",85
31719,"Fort Collins/Loveland, CO",30590,"Bullhead City, AZ",86
30590,"Bullhead City, AZ",30325,"Denver, CO",87
30590,"Bullhead City, AZ",31719,"Fort Collins/Loveland, CO",88
30590,"Bullhead City, AZ",33502,"Montrose/Delta, CO",89
30590,"Bullhead City, AZ",34288,"Pueblo, CO",90
33502,"Montrose/Delta, CO",30590,"Bullhead City, AZ",91
34288,"Pueblo, CO",30590,"Bullhead City, AZ",92
31840,"Gadsden, AL",34288,"Pueblo, CO",93
34288,"Pueblo, CO",32457,"Oakland, CA",94
33105,"Cincinnati, OH",30325,"Denver, CO",95
30325,"Denver, CO",33105,"Cincinnati, OH",96
30189,"Colorado Springs, CO",30325,"Denver, CO",97
30559,"Seattle, WA",30189,"Colorado Springs, CO",98
30558,"Scottsbluff, NE",30325,"Denver, CO",99
30325,"Denver, CO",33851,"Oklahoma City, OK",100
30325,"Denver, CO",30325,"Denver, CO",101
30558,"Scottsbluff, NE",30325,"Denver, CO",102
31283,"Dodge City, KS",30325,"Denver, CO",103
30325,"Denver, CO",30558,"Scottsbluff, NE",104
30325,"Denver, CO",31283,"Dodge City, KS",105
30325,"Denver, CO",30325,"Denver, CO",106
30325,"Denver, CO",31468,"Kearney, NE",107
30325,"Denver, CO",32899,"North Platte, NE",108
30325,"Denver, CO",32902,"Liberal, KS",109
31468,"Kearney, NE",30325,"Denver, CO",110
32899,"North Platte, NE",30325,"Denver, CO",111
32902,"Liberal, KS",30325,"Denver, CO",112
32902,"Liberal, KS",30325,"Denver, CO",113
30325,"Denver, CO",34081,"Page, AZ",114
34288,"Pueblo, CO",31711,"Farmington, NM",115
30325,"Denver, CO",30325,"Denver, CO",116
30558,"Scottsbluff, NE",30325,"Denver, CO",117
30325,"Denver, CO",30409,"Watertown, SD",118
30325,"Denver, CO",32389,"Williston, ND",119
32389,"Williston, ND",30325,"Denver, CO",120
31921,"Grand Junction, CO",32211,"Las Vegas, NV",121
32211,"Las Vegas, NV",31921,"Grand Junction, CO",122
